bestandsnaam;titel;dossier;datum;entiteiten;relaties;wijk_of_kern
Aanbiedingsbrief Raden en Staten ontwerpbegrotingswijziging 2021 en 2022.pdf;Aanbiedingsbrief ontwerpbegrotingswijziging 2021 en 2022;Zienswijze GR;2021-12-02;Omgevingsdienst IJsselland, Dagelijks Bestuur van Omgevingsdienst IJsselland, Regio IJsselland, Provincie Overijssel, Zwolle;Ontwerpbegrotingswijziging 2021 en 2022, Programma Samen Toekomstbestendig, Brieven van 14 april, 2 juli en 15 oktober 2021, Begroting 2023;
Aankooptekening (1).pdf;Aankooptekening Bergweg 18, Tuk;Grondaankoop;2023-01-09;Gemeente Steenwijkerland, Steenwijk, Tuk, S.G. Zwerver, Dhr. J.B. van Herwijnen, Mw. J. Hasenoot, Bergweg 18, Bergweg, Steendijk, Tukseweg, Oostwold, Oosterhoek, Perceel SWK05 E 2828, Perceel SWK05 E 2941;;
Aanpassing Verordening Jeugdhulp Steenwijkerland - RAADSVOORSTEL.pdf;Aanpassing Verordening Jeugdhulp Steenwijkerland;Jeugdhulp;2023-09-12;Gemeente Steenwijkerland, VNG, Team Samenleving, Regina Bakker, Gerard Elenga, Hennie de Weert, Linda van Eijk, Inge van de Poel, T. Jongman;Verordening Jeugdhulp Steenwijkerland, Jeugdwet, Wmo 2015, Beleidsplan toezicht en handhaving sociaal domein breed;
Aanpassing Verordening maatschappelijke ondersteuning Steenwijkerland 2020 artikel 12 lid 15.pdf;Aanpassing Verordening maatschappelijke ondersteuning Steenwijkerland 2020 artikel 12 lid 15;Wmo / Beschermd wonen;;Steenwijkerland, regio IJssel-Vecht;Verordening maatschappelijke ondersteuning Steenwijkerland 2020;
Aanvraag plus bijlagen - b_NL.IMRO.1708.PSLPaasloerweg16OV-ON01_bijlage.pdf;Master plan Camping Krolsbergen;Ruimtelijke ordening;;Camping Krolsbergen;;
Aanvraagformulier.pdf;Aanvraag vergunning Zonnepark Eeserwold;Zonnepark Eeserwold;2025-02-17;Gemeente Steenwijkerland, Hydronex, Bedrijventerrein Eeserwold, Perceel SWK01 G 1850;Verzoeknummer 20240802 00283 000, Verzoeknummer 20240802 00283 001;
Aanvullend ecologisch onderzoek 13-1-2022 Dwarsgracht 13, Giethoorn.pdf;Bureaustudie ecologie - Effecten van de bouwfase Dwarsgracht 13, Giethoorn;Woningbouw;2021-01-13;Mink Enthoven, Bevoegd gezag, Dwarsgracht 13, Giethoorn, H.J.M. Brouwer;Ecologische quickscan, Bestemmingsplan, Uitwerking van het thema stikstof, Wet natuurbescherming;
Aanvulling paragraaf 6.3 Welstandsnota richtlijnen monumenten.pdf;Richtlijnen en aandachtspunten welstands- en monumentencommissie;Monumenten en Welstand;;Welstands- en monumentencommissie, Gemeente Steenwijkerland;Welstandsnota Steenwijkerland;
Actualisatie Rapportage Stikstof Wanneperveen .pdf;Onderzoek Stikstofdepositie Woningbouwlocatie Wanneperveen;Stikstof;2024-10-31;Wanneperveen, Rensen Milieu Advies V.O.F., Febe Rensen, Blesdijke;;
Advies Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling (plus Regiovisie Jeugdhulp) (1).pdf;Advies Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling en Regionale visie Jeugdhulp;Sociaal Domein;2025-12-12;Adviesraad Sociaal Domein Steenwijkerland, Gemeente Steenwijkerland, College van Burgemeester en Wethouders, T. Jongman, Joke Wierbos, Regina Bakker, Janneke Dam, Regio IJsselland;Regionale visie Jeugdhulp IJsselland 2026-2031, Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling 2026-2030, Regionale visie Jeugdhulp IJsselland 2021-2025;
Advies Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling (plus Regiovisie Jeugdhulp).pdf;Advies Regiovisie IJsselland Huiselijk Geweld, Kindermishandeling en Jeugdhulp;Sociaal Domein;2025-12-12;Adviesraad Sociaal Domein Steenwijkerland, Gemeente Steenwijkerland, College van Burgemeester en Wethouders, T. Jongman, Joke Wierbos, Regina Bakker, Janneke Dam, Steenwijk, IJsselland;Regionale visie Jeugdhulp IJsselland 2026-2031, Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling 2026-2030, Regionale visie Jeugdhulp IJsselland 2021-2025;
Adviesnota Lijst initiatieven met participatieplicht (Bijlage II).pdf;Adviesnota lijst initiatieven met participatieplicht;Omgevingswet;2022-01-18;Lars Otsen, Piter Reitsma, B. Harmsma, T. Bijl, college, gemeenteraad;visie op (inwoners)participatie;
Adviesnota Ontwerp-PIP Noordmanen - Bijlage GS-nota Ontwerp PIP Noordmanen - bijlage 6.pdf;Advies vervolgaanpak ontwerp-PIP Noordmanen;Ontwerp-PIP Noordmanen;2021-12-01;Bestuurlijke Adviesgroep Wieden Weerribben (BAG), Harro Pruijssen, Noordmanen, Kooi van Pen, Staatsbosbeheer, Provincie, GS (Gedeputeerde Staten), Ambtelijke Adviesgroep (AAG), Gemeenteraad Steenwijkerland, PS-leden (Provinciale Staten);Natura 2000 Beheerplan De Wieden en Weerribben, Inrichtingsplan Noordmanen en Kooi van Pen (bijlage 1), Peilbesluit;
Adviesnota Ontwerp-PIP Noordmanen - Bijlage GS-nota Ontwerp-PIP Noordmanen.pdf;Vaststellen O-PIP Noordmanen N2000 De Weerribben;Natura 2000 / Provinciaal Inpassingsplan;2021-12-21;Gedeputeerde Staten, G.H. ten Bolscher, H. Pruijssen, H. Jonkers, E. Visser, L. Bakker, K. Mentink, Natura2000 De Weerribben, Noordmanen, Gemeenteraad van Steenwijkerland, Commissie m.e.r., Provinciale Staten;NL.IMRO.9923.PIPNoordmanen-on01, Reactienota op de ingediende inspraakreacties, MER (Milieueffectrapportage), Inrichtingsplan PIP Noordmanen, Ontwerp-beheerplan;
AERIUS berekening realisatie natuurbegraafplaats Heidewold_ De Pol_ Woldweg.pdf;AERIUS-berekening realisatie natuurbegraafplaats Heidewold;Stikstof;;Natuurbegraafplaats Heidewold, Woldweg, De Pol;;
Aerius berekening update 2024 memo en berekeningen.pdf;Notitie AERIUS Beulakerweg 5 Giethoorn;Stikstof;2024-02-27;Team 2 Studio voor de bouwkunst, Econu, Bart Smeets, Giethoorn, Beulakerweg 5;;
AERIUS-berekening 2020.175 Tukseweg 136 te Tuk (29 juni 2023).pdf;AERIUS Berekening Tukseweg 136 te Steenwijk;Stikstof;2023-06-29;Hedgehog Company BV., Tukseweg 136 te Steenwijk, Stikstofberekenen.nl, Amsterdam;;
AERIUS_bijlage_20220426132922_Schoolstraat_Scheerwolde.pdf;AERIUS Projectberekening Schoolstraat Scheerwolde;Stikstof;2022-04-26;Schoolstraat, Scheerwolde, Natura 2000-gebieden, AERIUS Calculator, Wet natuurbescherming;;
Alfen_DNO_drawing.pdf (geanonimiseerd) (1).pdf;Bouwtekening betreedbaar station BSK1 000.36 Statkraft Winterswijk;Bouwtekening transformatorstation;2023-01-27;Statkraft Renewables Benelux B.V., Winterswijk, Liander, ABB, JAZO, Alfen;Offerte OF-46342, Tekeningnummer 8018A710 D, JAZO tekeningnr. AD47817-A-1-A1;
Alfen_DNO_drawing.pdf (geanonimiseerd).pdf;Offertetekening betreedbaar transformatorstation Statkraft Winterswijk;Energie-infrastructuur;2023-01-27;Statkraft Renewables Benelux B.V., Winterswijk, Liander, Alfen, ABB, JAZO;;
Algemene toelichting en artikelsgewijze toelichting VFL Steenwijkerland 2023.pdf;Algemene toelichting Verordening Fysieke Leefomgeving;Invoering Omgevingswet;;Gemeente Steenwijkerland;Afvalstoffenverordening Steenwijkerland 2017, Grondstoffenplan 2021-2025;
Antwoorden vragen raadslid Netjes tijdens werkvergadering 11-01.pdf;Antwoorden op vragen raadslid Netjes tijdens werkvergadering 11-01-2022;Agrarisch beleid;2022-01-11;Raadslid Netjes, Steenwijkerland, Gemeenteraad, College;Beleidsnotitie bestemmingsplan buitengebied Steenwijkerland, Voorstel aan de raad voor het bindend adviesrecht, Afwegingskader uitbreiding intensieve veehouderij en intensieve neventakken (2015);
AO 24-06-2024 (geanonimiseerd).pdf;Concept Anterieure overeenkomst zonnepark Blokzijl;Zonnepark;2024-06-24;Gemeente Steenwijkerland, J.H. Bats, College van Burgemeester en Wethouders, Steenergie Blokzijl B.V., MVA Hellinga Holding B.V., Stormkracht 8 B.V., Lok Holding B.V., Blokzijl, Uiterdijkenweg, Kuinderdijk, IJsselham;Beleidskader "Ruimte voor zonnepanelen op (Steenwijker)land", Wet ruimtelijke ordening (Wro), Omgevingswet;
Arnhem - Nijmegen - handreiking-ruimtelijke-inpassing-middenspanningsruimte-definitief.pdf;Handreiking Ruimtelijke Inpassing Middenspanningsruimtes;Ruimtelijke inpassing energie-infrastructuur;;Groene Metropoolregio Arnhem-Nijmegen, Liander;;
B10_Participatieverslag_2021-2023.pdf (geanonimiseerd) (1).pdf;Participatieverslag 2021-2023;Participatie;;;;
B10_Participatieverslag_2021-2023.pdf (geanonimiseerd).pdf;Participatieverslag 2021-2023;Participatie;;;;
B11_Financiele_participatie_lokaal_eigendom.pdf (geanonimiseerd) (1).pdf;Financiële participatie / lokaal eigendom;Energietransitie;;Gemeente Steenwijkerland, Coöperatie Steenergie, Blokzijl;Participatiewaaier (2019);
B11_Financiele_participatie_lokaal_eigendom.pdf (geanonimiseerd).pdf;Financiële participatie en lokaal eigendom;Energietransitie;;gemeente Steenwijkerland, Coöperatie Steenergie, Blokzijl;Participatiewaaier (2019);
B1_Situatietekening.pdf (geanonimiseerd) (1).pdf;Situatietekening Zonnepark (Proposal);Zonnepark;;Locatie 52.721708 5.842055;;
B1_Situatietekening.pdf (geanonimiseerd).pdf;Situatietekening PV-installatie (Zonnepark);Zonnepark;;Geert, Locatie 52.721708, 5.820888;;
B2_Uitvoeringstekening_Frame.pdf (geanonimiseerd) (1).pdf;Specificaties Ground Mounting System;Zonnepark;;Axial Structural;NEN EN 1991-1-4, NEN EN 1991-1-3, Eurocode 3;
B2_Uitvoeringstekening_Frame.pdf (geanonimiseerd).pdf;Uitvoeringstekening Frame (Ground Mounting System);Zonnepark;;Axial Structural;;
B3_Maatvoering_Compactstation.pdf (geanonimiseerd) (1).pdf;Foundation drawing DIABOLO 40H;Compactstation;2018-01-31;ALFEN, Almere, DIABOLO 40H;;
B3_Maatvoering_Compactstation.pdf (geanonimiseerd).pdf;Foundation drawing DIABOLO 40H;Compactstation;2018-01-31;Alfen, Almere;MS4408A881E, Norm'95;
B4_Datasheet_zonnepanelen.pdf (geanonimiseerd) (1).pdf;Preliminary Technical Information Sheet CSI Solar Co., Ltd.;Zonnepanelen;;CSI Solar Co., Ltd., IHS, Canadian Solar, Suzhou, Jiangsu, China;Installation Manual, Canadian Solar Limited Warranty Statement;
B4_Datasheet_zonnepanelen.pdf (geanonimiseerd).pdf;Datasheet CSI Solar zonnepanelen;Zonnepanelen;;CSI Solar Co., Ltd., IHS, Canadian Solar, Suzhou, Jiangsu, China;;
B5_Bodemonderzoek.pdf (geanonimiseerd) (1).pdf;Conditionerend onderzoek bodem Zonnepark de Hoop bij Blokzijl;Zonnepark;2023-01-27;Zonnepark de Hoop, Blokzijl, Coöperatie Steenergie;Referentie: BI7272-RHD-MI-RP-270123;
B5_Bodemonderzoek.pdf (geanonimiseerd).pdf;Conditionerend onderzoek bodem Zonnepark de Hoop bij Blokzijl;Bodemonderzoek Zonnepark;2023-01-27;Zonnepark de Hoop, Blokzijl, Coöperatie Steenergie;;
B6 Aeriusberekening zonneweide De Hoop 20231113 (geanonimiseerd) (1).pdf;Stikstofdepositie Zonnepark Blokzijl;Stikstof;2023-11-13;Coöperatie Steenergie, Royal HaskoningDHV, HaskoningDHV Nederland B. V., Blokzijl, Natura 2000-gebieden;Wet natuurbescherming (Wnb);
B6 Aeriusberekening zonneweide De Hoop 20231113 (geanonimiseerd).pdf;Stikstofdepositie Zonnepark Blokzijl;Stikstof;2023-11-13;HaskoningDHV Nederland B.V., Royal HaskoningDHV, Coöperatie Steenergie, Zonnepark Blokzijl, Blokzijl, Natura 2000-gebieden, Wet natuurbescherming (Wnb), AERIUS Calculator;;
B7_Natuurtoets_Zonnepark_de_Hoop.pdf (geanonimiseerd) (1).pdf;Natuurtoets zonnepark Baarlo;Zonnepark;2022-10-17;Baarlo, Steenergie;;
B7_Natuurtoets_Zonnepark_de_Hoop.pdf (geanonimiseerd).pdf;Natuurtoets zonnepark Baarlo;Zonneparken;2022-10-17;Baarlo, Steenergie;;
B8 Landschapsplan zonneweide De Hoop 20240206 (geanonimiseerd) (1).pdf;Landschapsplan Zonneweide De Hoop;Zonneweide;2024-02-06;Gemeente Steenwijkerland, De Hoop;;
B8 Landschapsplan zonneweide De Hoop 20240206 (geanonimiseerd).pdf;Landschapsplan Zonneweide De Hoop;Zonneweide De Hoop;2024-02-06;Gemeente Steenwijkerland, Zonneweide De Hoop;;
B9_Watertoets.pdf (geanonimiseerd) (1).pdf;Digitale Watertoets;Watertoets;2023-09-27;Waterschap;;
B9_Watertoets.pdf (geanonimiseerd).pdf;Digitale Watertoets;Waterbeheer;2023-09-27;Waterschap;;
BDO - Boardletter 2022 gemeente Steenwijkerland.pdf;Boardletter 2022;Boardletter;2022-11-11;Gemeente Steenwijkerland, BDO;;
Beantwoording vragen van de fractie ChristenUnie over de adviesnota (Bijlage III).pdf;Beantwoording vragen ChristenUnie over adviesnota Lijst initiatieven met participatieplicht;Participatieplicht Omgevingswet;;ChristenUnie, Gemeenteraad;Adviesnota 'Lijst initiatieven met participatieplicht', Participatieverordening, Visie op inwonersparticipatie;
Beantwoording zienswijzen omg Steenwijkerdiep-Noord 12B in Scheerwolde d.d. 25-06-2024 (geanonimiseerd).pdf;Reactienota zienswijzen Ontwerpbesluit omgevingsvergunning Steenwijkerdiep-Noord 12B Scheerwolde;Omgevingsvergunning;2024-06-25;Gemeente Steenwijkerland, Steenwijkerdiep-Noord 12B, Scheerwolde, Steenwijk, Team Ruimtelijke ordening en projecten & Vergunningen, Toezicht en Handhaving;Ontwerpbesluit omgevingsvergunning Steenwijkerdiep-Noord 12B;
Beantwoording zienswijzen omg zonneweide ten noordwesten van Blokzijl d.d. 25-06-2024 (geanonimiseerd).pdf;Reactienota zienswijzen Ontwerpbesluit omgevingsvergunning zonneweide Blokzijl;Zonneweide Blokzijl;2024-06-25;Gemeente Steenwijkerland, Steenwijk, Blokzijl, Uiterdijkenweg 61, Team Ruimtelijke ordening en projecten, Team Vergunningen, Toezicht en Handhaving;Ontwerpbesluit omgevingsvergunning voor een tijdelijke omgevingsvergunning voor het aanleggen van een zonneweide ten noordwesten van Blokzijl;
Beantwoording zienswijzen TAM-omgevingsplan Wanneperveen.pdf;Reactienota zienswijzen TAM-Omgevingsplan Hoofdstuk 22a Wanneperveen;Ruimtelijke ordening en Woningbouw;2024-11-04;Steenwijkerland, Steenwijk, Wanneperveen, Lascal Boer, Team Ruimtelijke ordening en projecten;;
Beeldkwaliteitsplan woningbouw en kindcentrum Wanneperveen.pdf;Beeldkwaliteitsplan woningbouw en nieuwe kindcentrum Wanneperveen;Woningbouw en kindcentrum;;Wanneperveen;;
4. Crisisplan 2023-2026.PDF;Crisisplan 2023-2026 Veiligheidsregio IJsselland;Crisisbeheersing en Veiligheid;;Veiligheidsregio IJsselland, Brandweer, GHOR, Politie, Bevolkingszorg;Politiewet (2012), Wet veiligheidsregio’s (2010), Besluit veiligheidsregio’s (2010), Besluit personeel veiligheidsregio’s (2010), Wet publieke gezondheid (2008), Gemeentewet (1992);
Adviesrapport Rabo Theater De Meente - dd. 30-05-2022.pdf;Adviesrapport ontwikkeling Meeting Center Rabo Theater De Meenthe;Commerciële exploitatie en zaalverhuur;2022-05-30;Rabo Theater De Meenthe, Onemeeting Services B.V., The Onemeeting Company B.V., Onemeeting.com, Han Evers, Maarten Geurtse, Saviëlle Roemeling, Ingrid van der Wal-Koek, Fletcher Hotel Restaurant Steenwijk, Fletcher Hotel Restaurant De Eese-Giethoorn, Van der Valk Wolvega;Beleidsnota april 2019 van Rabo Theater De Meenthe;
Begroting in een oogopslag 2025.pdf;Programmabegroting 2025 in één oogopslag Veiligheidsregio IJsselland;Begroting Veiligheidsregio IJsselland;;Veiligheidsregio IJsselland, Meldkamer Oost-Nederland, Het Rijk;;
Beheersverordening Buitengebied Steenwijkerland 2014.pdf;Beheersverordening Buitengebied Steenwijkerland 2014;Beheersverordening / Agrarisch beleid;;Buitengebied Steenwijkerland, Agrarische bedrijven, Veehouderijbedrijven;Voorheen geldende bestemmingsplannen;
Beleidsnotitie Participatie onder de Omgevingswet.pdf;Beleidsnotitie Participatie onder de Omgevingswet;Omgevingswet;;Gemeenteraad, College, Initiatiefnemers;Visie op (inwoners) participatie, Participatieverordening;
Beleidsplan Beheer en Onderhoud Wegen Paden (beleidsplan).pdf;Beleidsplan Beheer en Onderhoud Wegen & Paden;Infrastructuur en Wegen;;CROW;Grondwet, Burgerlijk Wetboek, Wegenwet, Omgevingswet, Actieplan veilige bermen;
Beleidsplan Schuldhulpverlening 2026-2029.pdf;Beleidsplan Schuldhulpverlening 2026-2029;Schuldhulpverlening;Onbekend;Sociaal Werk De Kop, Regionaal Bureau Zelfstandigen (RBZ), Kredietbank Nederland (KBNL), Vluchtelingenwerk, Rechtbank;Wet gemeentelijke schuldhulpverlening (Wgs), Faillissementswet, Gedragscode Schuldhulpverlening, Actieplan Schuldhulpverlening 2021 -2024, Wet Inburgering 2021, Nationaal Plan Armoede en Schulden (NPAS), Basisdienstverlening Schuldhulpverlening;Vollenhove
Beleidsplan_Onderhoud_Vastgoed 11-11-25.pdf;Beleidsplan onderhoud maatschappelijk vastgoed;Onderhoud maatschappelijk vastgoed;2025-11-11;Schoolbestuur, Planon;Meerjarenonderhoudsplan (MJOP), NEN 2767;
Beleidsvisie Openbare Verlichting (beleidsvisie).pdf;Beleidsvisie openbare verlichting Gemeente Steenwijkerland;Openbare Verlichting;;Provincie Overijssel, Bureau Licht en Donker Advies, Gemeente Steenwijkerland;;
Beleidsvisie Openbare Verlichting (publieksversie).pdf;Beleidsvisie Openbare Verlichting;Openbare Verlichting;;Provincie Overijssel, 17 andere Overijsselse gemeenten, Nederlandse Praktijkrichtlijn (NPR), Nederlandse Stichting voor Verlichtingskunde (NSVV), Netbeheerders, Noordoostpolder, De Weerribben en De Wieden, Woldberg;Beleidsvisie 'Zo verlichten wij in Overijssel', Vorig beleidsplan, Bijlage B: Participatie;
Berekening lasten museum en bibliotheek juli 2024.pdf;Financiële berekening lasten museum en bibliotheek;Financiën / Vastgoed;2024-07-01;Bibliotheek aan de Markt, Museum Spijkervetstallen, DUMAVA;;Steenwijk Centrum / Binnenstad
Beschikking - Omgevingsvergunning - Gagelsweg 25, Steenwijk - 20240423 (geanonimiseerd).pdf;Omgevingsvergunning voor het plaatsen van drie zonnecarports aan de Gagelsweg 25;Omgevingsvergunning;2024-04-23;Rechtbank Overijssel, Gemeente Steenwijkerland, Netwerk Groene Bureaus, Gagelsweg 25, 8331 CM Steenwijk;Bestemmingsplan Steenwijk & Tuk, Tijdelijk deel omgevingsplan Steenwijkerland, Aanvraag omgevingsvergunning d.d. 6 maart 2024 (Z2024-00001937);De Gagels, Tuk
Beschikking Afdeling bestuursrechtspraak Raad van State inzake termijnverlenging Tuk -Tukseweg 136.pdf;Beschikking Raad van State inzake termijnverlenging Tukseweg 136 te Tuk;Bestemmingsplan;2022-06-15;Raad van State, Afdeling bestuursrechtspraak, gemeente Steenwijkerland, P.C. ter Haar, PTH Trading, mr. drs. B.P.M. van Ravels, mr. R.I.Y. Lap, Tukseweg 136;tussenuitspraak van 30 maart 2022, in zaak nr. 202104917/1/R3, bestemmingsplan Bedrijventerreinen;Tuk
Bestemmingsplan Lakeweg 7 en 8, IJsselhamReactienota zienswijze.pdf;Reactienota zienswijzen ontwerpbestemmingsplan Lakeweg 7 & 8 IJsselham;Bestemmingsplan;2023-01-12;Waterschap Drents Overijsselse Delta, Sander Wennemers, Furkan Adigüzel, Team Samenleving en Ontwikkeling, Zwolle;ontwerpbestemmingsplan Lakeweg 7 & 8 IJsselham, uitgangspuntennotitie;Ijsselham
Bestemmingsplan Lakeweg 7 en 8_ontwerp_1_Bijlagen_compressed.pdf;Rapportage Kwaliteitsimpuls Groene Omgeving Lakeweg 7;Bestemmingsplan;2022-04-07;Fons Rensen, R.S. Bos, J. Fleer, Provincie Overijssel;;Ijsselham
Bestemmingsplan Lakeweg 7 en 8_ontwerp_1_Regels.pdf;Regels ontwerp bestemmingsplan Lakeweg 7 en 8;Bestemmingsplan;;Lakeweg 7 en 8, Gemeente Steenwijkerland, College van burgemeester en wethouders;NL.IMRO.1708.ISHLakeweg7en8BP-ON01, Erfgoedwet;
Bestemmingsplan Lakeweg 7 en 8_ontwerp_1_Toelichting.pdf;Ontwerp bestemmingsplan Lakeweg 7 en 8;Bestemmingsplan;2022-06-01;BJZ.nu, Waterschap Drents Overijsselse Delta;m.e.r. besluit, Uitgangspuntennotitie Waterschap Drents Overijsselse Delta, KGO-investering;
Bestemmingsplan ontwerp.pdf;Ontwerp bestemmingsplan Vollenhoofsedijk 2 te Blokzijl;Bestemmingsplan;2023-12-04;Fam. De Boer, Kleine Camping De Duin, Mestemaker Architecten, Vollenhoofsedijk 2;;Blokzijl
Bestemmingsplan verbeelding_20220303-A3.pdf;Verbeelding bestemmingsplan Steenwijk - Ruxveenseweg 2;Bestemmingsplan;2023-01-09;Rho Adviseurs, K. Heijmeriks, Ruxveenseweg, Zuidveenseweg;NL.IMRO.1708.STWRuxveenseweg2-VAS1;
Bestuursrapportage GGD IJsselland najaar 2022.bijlage begrotingswijziging 2022-1.pdf;Eerste begrotingswijziging 2022 GGD IJsselland;Begrotingswijziging GGD IJsselland;;GGD IJsselland, Rijk;Corsa G22.000976;
Bestuursrapportage GGD IJsselland najaar 2022.bijlage document.pdf;Bestuursrapportage GGD IJsselland najaar 2022;Zienswijze GR;2022-10-13;GGD IJsselland, Ministerie van VWS, RIVM, Veiligheidsregio, GHOR;Financiële verordening GGD IJsselland, Programmabegroting 2022, Begrotingswijziging 2022/1, Ontwikkelingenbrief van januari 2022;
Bestuursrapportage GGD IJsselland najaar 2022.brief aan raden.pdf;Aanbieding eerste begrotingswijziging en bestuursrapportage najaar 2022 GGD IJsselland;Zienswijze GR GGD IJsselland;2022-09-29;GGD IJsselland, Ministerie van VWS, Rijk, Christine Hoogenboom, Jeroen Homburg, A.M. (Rianne) van den Berg, Zwolle, Deventer;Programmabegroting 2022, Eerste begrotingswijziging 2022 GGD IJsselland, Bestuursrapportage najaar 2022, Wet gemeenschappelijke regelingen, Ontwikkelingenbrief van januari 2022;
Bestuursrapportage voorjaar 2023 GGD IJsselland.pdf;Bestuursrapportage voorjaar 2023 GGD IJsselland;Publieke gezondheid;2023-04-19;GGD IJsselland, Samenwerkende Gemeentelijke Organisaties, Ministerie van VWS, Veiligheidsregio IJsselland, GGD GHOR Nederland, VNG, Rijk;Programmabegroting 2022, Programmabegroting 2023, Kadernota 2024, Bestuursagenda publieke gezondheid 2023-2027, Agenda publieke gezondheid 'Beweging vanuit eigen regie', Versterking Infectieziektebestrijding en pandemische paraatheid GGD 'en';
Bestuursrapportage voorjaar 2023_Begrotingswijziging 2023-1 GGD IJsselland.pdf;Eerste begrotingswijziging 2023 GGD IJsselland;Begroting GR;;GGD IJsselland;Corsa G23.000354;
Bestuursrapportage voorjaar 2023_oplegger.pdf;Bestuursrapportage voorjaar 2023;Bestuursrapportage en begroting GGD IJsselland;2023-05-17;GGD IJsselland, Astrid Schulting, Michiel van Willigen, Rijk, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Zwartewaterland, Zwolle;Programmabegroting 2023, Ontwerp-Programmabegroting 2024, Financiële verordening GGD IJsselland, Begrotingswijziging 2023/1, Brief aan gemeenteraden;
Bijlage - Aanvullend bodemonderzoek.pdf;Aanvullend bodemonderzoek Roekebosscheweg 3a te Wanneperveen;Bodemverontreiniging;2022-12-13;Inventerra, Omgevingsdienst, Roekebosscheweg 3a, Kadastrale gemeente Brederwiede, Normec Certifications, TÜV Nederland;Verkennend bodemonderzoek (rapport 22-2050-RO1AvH, d.d. 7 april 2022);Wanneperveen
Bijlage - ecologische quickscan De Pol 18b.pdf;Quickscan Flora & Fauna De Pol 18b;Woningbouw;2021-11-11;RooBeek Advies, Alcedo Natuurprojecten, De Pol 18b;;De Pol, Baars en de Bult
Bijlage - Overzicht aan huis gebonden beroepen en of bedrijven.pdf;Overzicht aan huis gebonden beroepen en bedrijven;Aan huis gebonden beroepen en bedrijven;;Kamers van Koophandel;;
Bijlage - Quickscan flora en fauna.pdf;Quickscan Wet natuurbescherming Roekebosscheweg 3a te Wanneperveen;Wet natuurbescherming;2022-03-09;BLOM ECOLOGIE, Buro SRO Oost B.V., Natuurgebied 'de Wieden';;Wanneperveen
Bijlage - Regiovisie Huiselijk Geweld en Kindermishandeling (def).pdf;Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling;Huiselijk Geweld en Kindermishandeling;Onbekend;Regio IJsselland;Regiovisie Huiselijke Geweld en Kindermishandeling 2021 - 2024, Toekomstbeeld 2030 Samen tegen huiselijk geweld - Lokaal sterk, Hervormingsagenda Jeugd, Toekomstscenario Kind- en Gezinsbescherming, Leidraad Werken aan Veiligheid, Aanpak Voorkomen Escalatie (AVE);
Bijlage - Regiovisie Jeugdhulp IJsselland 2026-2031.pdf;Regionale visie Jeugdhulp IJsselland 2026-2031;Jeugdhulp;2025-10-10;RSJ IJsselland, Michiel van Willigen, GGD, Gecertificeerde Instellingen, Commissie Van Ark;Kinderrechtenverdrag, Hervormingsagenda Jeugd, Wet verbetering beschikbaarheid jeugdzorg, Jeugdwet, Regionale uitvoeringsagenda;
Bijlage - verkennend bodemonderzoek De Pol 18b.pdf;Verkennend milieukundig bodemonderzoek De Pol 18b;Woningbouw;2021-11-04;;;De Pol
Bijlage - Verkennend bodemonderzoek.pdf;Verkennend bodemonderzoek Roekebosscheweg 3a te Wanneperveen;Bestemmingswijziging en nieuwbouw;2022-04-07;Inventerra, Buro SRO, Normec Certification, TÜV Nederland, Roekebosscheweg 3a;;Wanneperveen
Bijlage - voorbeeld nen 2767 rapport en MJOP Brandweerkazerne Giethoorn.pdf;Inspectierapport Brandweerkazerne Giethoorn;Vastgoedonderhoud;2024-04-05;Jeroen Veldhuizen, Bartus Warnersweg 1, Brandweer;;Giethoorn
Bijlage - Voortoets stikstofdepositie .pdf;Voortoets stikstofdepositie Roekebosscheweg, Wanneperveen;Stikstof;2023-01-30;Natura 2000;;Wanneperveen
Bijlage 1 - Grondtekening (ingezoomd).pdf;Grondtekening mogelijke opstelling windturbines percelen Oldemarkt e.o.;Windturbines;2023-12-14;S.G. Zwerver, De Lende, Jonkers- of Helomavaort, Driewegsluis;;Oldemarkt, Ossenzijl
Bijlage - Voortoets stikstofdepositie.pdf;AERIUS Projectberekening nieuwbouw woning De Pol 18b;Stikstof;2023-04-13;Natura 2000, Löhnislaan;;De Pol
Bijlage - Watertoets (1).pdf;Digitale Watertoets;Watertoets;2022-03-28;Waterschap Drents Overijsselse Delta;Wet ruimtelijke ordening (Wro), waterbeheerplan 2016-2021, Water Raakt!, De Keur, verbreed gemeentelijke rioleringsplan (vGRP);
Bijlage - Watertoets.pdf;Resultaat Digitale Watertoets;Watertoets;2021-11-12;Waterschap Drents Overijsselse Delta;;
Bijlage - Wel of geen staatsteun (rechtmatigheid)- Advies Helpdesk decentraal Europa.pdf;Juridisch advies over staatssteun en Wet Markt en Overheid bij renovatie congresvoorziening theater;Staatssteun;;Kenniscentrum Europa decentraal, Theater de Meenthe, Onemeeting;Financiële verordening 2018 Steenwijkerland;
